"sample_id","actual_bytes","controller_model","firmware_rev","date_tested","notes","error_count","warning_count","message_value","window_title","error_log"
"aliassize_n00001","18664","1756-L81E","35.05","2026-08-22","","0","0","0","Logix Designer - AliasSizeN1 in aliassize_n00001.ACD [1756-L81E 35.11]*",""
"aliassize_n00010","19168","1756-L81E","35.05","2026-08-22","","0","0","0","Logix Designer - AliasSizeN10 in aliassize_n00010.ACD [1756-L81E 35.11]*",""
"aliassize_n01000","81808","1756-L81E","35.05","2026-08-22","","0","0","0","Logix Designer - AliasSizeN1000 in aliassize_n01000.ACD [1756-L81E 35.11]*",""
"almd_minimal","19719","UNKNOWN","UNKNOWN","2026-09-13","STALE CAPTURE CLEARED : the file's content changed after this capture ran, so the row measured a file that no longer exists. Needs recapture. Found by scripts/capture_errors.py's staleness check (content hash ignoring export timestamps, compared against the committed version as of the capture date).","1","0","0","Logix Designer - AlmdMinimal in almd_minimal.ACD [1756-L81E 35.11]","Error: Rung 0, ALMD: Invalid number of arguments for instruction. | Complete - 1 error(s), 0 warning(s) | "
"almd_realtext","19754","UNKNOWN","UNKNOWN","2026-09-13","STALE CAPTURE CLEARED : the file's content changed after this capture ran, so the row measured a file that no longer exists. Needs recapture. Found by scripts/capture_errors.py's staleness check (content hash ignoring export timestamps, compared against the committed version as of the capture date).","1","0","0","Logix Designer - AlmdRealtext in almd_realtext.ACD [1756-L81E 35.11]","Error: Rung 0, ALMD: Invalid number of arguments for instruction. | Complete - 1 error(s), 0 warning(s) | "
"aoi_array_localtag_1_instance","20232","1756-L81E","35.05","2026-08-29","","0","0","0","Logix Designer - ArrayLocalAOI in aoi_array_localtag_1_instance.ACD [1756-L81E 35.11]*",""
"aoi_array_localtag_def_only","19736","1756-L81E","35.05","2026-08-29","","0","0","0","Logix Designer - ArrayLocalAOI in aoi_array_localtag_def_only.ACD [1756-L81E 35.11]*",""
"aoi_boolpack_clean_alternating_def_only","19664","1756-L81E","35.05","2026-08-22","","0","0","0","Logix Designer - BoolPackAlternating in aoi_boolpack_clean_alternating_def_only.ACD [1756-L81E 35.11]*",""
"aoi_boolpack_clean_grouped_def_only","19664","1756-L81E","35.05","2026-08-22","","0","0","0","Logix Designer - BoolPackGrouped in aoi_boolpack_clean_grouped_def_only.ACD [1756-L81E 35.11]*",""
"aoi_boolpack_consecutive20_1_instance","19728","1756-L81E","35.05","2026-08-22","","0","0","0","Logix Designer - BoolPackConsecutive in aoi_boolpack_consecutive20_1_instance.ACD [1756-L81E 35.11]*",""
"aoi_boolpack_consecutive20_def_only","19632","1756-L81E","35.05","2026-08-22","","0","0","0","Logix Designer - BoolPackConsecutive in aoi_boolpack_consecutive20_def_only.ACD [1756-L81E 35.11]*",""
"aoi_boolpack_interspersed20_1_instance","20288","1756-L81E","35.05","2026-08-22","","0","0","0","Logix Designer - BoolPackInterspersed in aoi_boolpack_interspersed20_1_instance.ACD [1756-L81E 35.11]*",""
"aoi_boolpack_interspersed20_def_only","20112","1756-L81E","35.05","2026-08-22","","0","0","0","Logix Designer - BoolPackInterspersed in aoi_boolpack_interspersed20_def_only.ACD [1756-L81E 35.11]*",""
"aoi_boolrun_n04_def_only","19368","1756-L81E","35.05","2026-08-22","","0","0","0","Logix Designer - BoolRunN04 in aoi_boolrun_n04_def_only.ACD [1756-L81E 35.11]*",""
"aoi_boolrun_n08_def_only","19424","1756-L81E","35.05","2026-08-22","","0","0","0","Logix Designer - BoolRunN08 in aoi_boolrun_n08_def_only.ACD [1756-L81E 35.11]*",""
"aoi_boolrun_n12_def_only","19488","1756-L81E","35.05","2026-08-22","","0","0","0","Logix Designer - BoolRunN12 in aoi_boolrun_n12_def_only.ACD [1756-L81E 35.11]*",""
"aoi_boolrun_n16_def_only","19552","1756-L81E","35.05","2026-08-22","","0","0","0","Logix Designer - BoolRunN16 in aoi_boolrun_n16_def_only.ACD [1756-L81E 35.11]*",""
"aoi_boolrun_n20_def_only","19616","1756-L81E","35.05","2026-08-22","","0","0","0","Logix Designer - BoolRunN20 in aoi_boolrun_n20_def_only.ACD [1756-L81E 35.11]*",""
"aoi_deepnest3_1_instance","21872","1756-L81E","35.05","2026-08-22","","0","0","0","Logix Designer - DeepA in aoi_deepnest3_1_instance.ACD [1756-L81E 35.11]*",""
"aoi_deepnest3_def_only","21760","1756-L81E","35.05","2026-08-22","","0","0","0","Logix Designer - DeepA in aoi_deepnest3_def_only.ACD [1756-L81E 35.11]*",""
