l5x_path,acd_path,status,message
C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\samples\generated\boolpack\sample_0001_boolpack_baseline_0bool.L5X,C:\l5x_scratch\acd\sample_0001_boolpack_baseline_0bool.ACD,FAILED,[2026-08-20T10:51:31][INFO][C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\samples\generated\boolpack\sample_0001_boolpack_baseline_0bool.L5X] Open project started [2026-08-20T10:52:20][ERROR][C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\samples\generated\boolpack\sample_0001_boolpack_baseline_0bool.L5X] Open project threw OperationFailedException: Not supported processor type: 5069-L306ERS. C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\samples\generated\boolpack\sample_0001_boolpack_baseline_0bool.L5X [2026-08-20T10:52:20][ERROR][C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\samples\generated\boolpack\sample_0001_boolpack_baseline_0bool.L5X] Failed to open project. Unhandled exception: RockwellAutomation.LogixDesigner.OperationFailedException: Not supported processor type: 5069-L306ERS. (C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\samples\generated\boolpack\sample_0001_boolpack_baseline_0bool.L5X)    at RockwellAutomation.LogixDesigner.LogixProject.HandleServerCallAsync[T](String funcName; Func`1 funcAsync; Boolean logErrors)    at RockwellAutomation.LogixDesigner.LogixProject.Open(CancellationToken cancellationToken)    at RockwellAutomation.LogixDesigner.LogixProject.<>c__DisplayClass28_0.<<OpenLogixProjectAsync>g__funcToOpenProject|0>d.MoveNext() --- End of stack trace from previous location ---    at RockwellAutomation.LogixDesigner.LogixProject.InstantiateClassAndOpenProjectAsync(String projectFilePath; Func`2 funcToOpenProject; IEnumerable`1 handlers; CancellationToken cancellationToken)    at RockwellAutomation.LogixDesigner.LogixProject.OpenLogixProjectAsync(String projectFilePath; IEnumerable`1 operationEventHandlers; CancellationToken cancellationToken)    at RockwellAutomation.LogixDesigner.LogixProject.OpenLogixProjectAsync(String projectFilePath; IOperationEvent operationEventHandler; CancellationToken cancellationToken)    at L5xCommands.LogixProjectConverter.ConvertAsync(String sourceFilePath; String destinationFilePath; IOperationEvent logger; Boolean overwrite) in C:\Users\JamesH\source\repos\ra-logix-designer-vcs-custom-tools\src\L5xCommands\LogixProjectConverter.cs:line 10    at L5xCommands.Commands.L5x2Acd.Execute(String acdPath; String l5xPath) in C:\Users\JamesH\source\repos\ra-logix-designer-vcs-custom-tools\src\L5xCommands\Commands\L5x2Acd.cs:line 38    at System.CommandLine.Command.<>c__DisplayClass33_0.<<SetAction>b__0>d.MoveNext() --- End of stack trace from previous location ---    at System.CommandLine.Invocation.InvocationPipeline.InvokeAsync(ParseResult parseResult; CancellationToken cancellationToken)
C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\samples\generated\boolpack\sample_0002_boolpack_1000bool.L5X,C:\l5x_scratch\acd\sample_0002_boolpack_1000bool.ACD,FAILED,[2026-08-20T10:52:20][INFO][C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\samples\generated\boolpack\sample_0002_boolpack_1000bool.L5X] Open project started [2026-08-20T10:52:59][ERROR][C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\samples\generated\boolpack\sample_0002_boolpack_1000bool.L5X] Open project threw OperationFailedException: Not supported processor type: 5069-L306ERS. C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\samples\generated\boolpack\sample_0002_boolpack_1000bool.L5X [2026-08-20T10:52:59][ERROR][C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\samples\generated\boolpack\sample_0002_boolpack_1000bool.L5X] Failed to open project. Unhandled exception: RockwellAutomation.LogixDesigner.OperationFailedException: Not supported processor type: 5069-L306ERS. (C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\samples\generated\boolpack\sample_0002_boolpack_1000bool.L5X)    at RockwellAutomation.LogixDesigner.LogixProject.HandleServerCallAsync[T](String funcName; Func`1 funcAsync; Boolean logErrors)    at RockwellAutomation.LogixDesigner.LogixProject.Open(CancellationToken cancellationToken)    at RockwellAutomation.LogixDesigner.LogixProject.<>c__DisplayClass28_0.<<OpenLogixProjectAsync>g__funcToOpenProject|0>d.MoveNext() --- End of stack trace from previous location ---    at RockwellAutomation.LogixDesigner.LogixProject.InstantiateClassAndOpenProjectAsync(String projectFilePath; Func`2 funcToOpenProject; IEnumerable`1 handlers; CancellationToken cancellationToken)    at RockwellAutomation.LogixDesigner.LogixProject.OpenLogixProjectAsync(String projectFilePath; IEnumerable`1 operationEventHandlers; CancellationToken cancellationToken)    at RockwellAutomation.LogixDesigner.LogixProject.OpenLogixProjectAsync(String projectFilePath; IOperationEvent operationEventHandler; CancellationToken cancellationToken)    at L5xCommands.LogixProjectConverter.ConvertAsync(String sourceFilePath; String destinationFilePath; IOperationEvent logger; Boolean overwrite) in C:\Users\JamesH\source\repos\ra-logix-designer-vcs-custom-tools\src\L5xCommands\LogixProjectConverter.cs:line 10    at L5xCommands.Commands.L5x2Acd.Execute(String acdPath; String l5xPath) in C:\Users\JamesH\source\repos\ra-logix-designer-vcs-custom-tools\src\L5xCommands\Commands\L5x2Acd.cs:line 38    at System.CommandLine.Command.<>c__DisplayClass33_0.<<SetAction>b__0>d.MoveNext() --- End of stack trace from previous location ---    at System.CommandLine.Invocation.InvocationPipeline.InvokeAsync(ParseResult parseResult; CancellationToken cancellationToken)
C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\samples\generated\logic\xic_ote_1000_comment100.L5X,C:\l5x_scratch\acd\xic_ote_1000_comment100.ACD,FAILED,[2026-08-20T10:53:00][INFO][C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\samples\generated\logic\xic_ote_1000_comment100.L5X] Open project started [2026-08-20T10:53:40][ERROR][C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\samples\generated\logic\xic_ote_1000_comment100.L5X] Open project threw OperationFailedException: Not supported processor type: 5069-L306ERS. C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\samples\generated\logic\xic_ote_1000_comment100.L5X [2026-08-20T10:53:40][ERROR][C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\samples\generated\logic\xic_ote_1000_comment100.L5X] Failed to open project. Unhandled exception: RockwellAutomation.LogixDesigner.OperationFailedException: Not supported processor type: 5069-L306ERS. (C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\samples\generated\logic\xic_ote_1000_comment100.L5X)    at RockwellAutomation.LogixDesigner.LogixProject.HandleServerCallAsync[T](String funcName; Func`1 funcAsync; Boolean logErrors)    at RockwellAutomation.LogixDesigner.LogixProject.Open(CancellationToken cancellationToken)    at RockwellAutomation.LogixDesigner.LogixProject.<>c__DisplayClass28_0.<<OpenLogixProjectAsync>g__funcToOpenProject|0>d.MoveNext() --- End of stack trace from previous location ---    at RockwellAutomation.LogixDesigner.LogixProject.InstantiateClassAndOpenProjectAsync(String projectFilePath; Func`2 funcToOpenProject; IEnumerable`1 handlers; CancellationToken cancellationToken)    at RockwellAutomation.LogixDesigner.LogixProject.OpenLogixProjectAsync(String projectFilePath; IEnumerable`1 operationEventHandlers; CancellationToken cancellationToken)    at RockwellAutomation.LogixDesigner.LogixProject.OpenLogixProjectAsync(String projectFilePath; IOperationEvent operationEventHandler; CancellationToken cancellationToken)    at L5xCommands.LogixProjectConverter.ConvertAsync(String sourceFilePath; String destinationFilePath; IOperationEvent logger; Boolean overwrite) in C:\Users\JamesH\source\repos\ra-logix-designer-vcs-custom-tools\src\L5xCommands\LogixProjectConverter.cs:line 10    at L5xCommands.Commands.L5x2Acd.Execute(String acdPath; String l5xPath) in C:\Users\JamesH\source\repos\ra-logix-designer-vcs-custom-tools\src\L5xCommands\Commands\L5x2Acd.cs:line 38    at System.CommandLine.Command.<>c__DisplayClass33_0.<<SetAction>b__0>d.MoveNext() --- End of stack trace from previous location ---    at System.CommandLine.Invocation.InvocationPipeline.InvokeAsync(ParseResult parseResult; CancellationToken cancellationToken)
C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\samples\generated\boolpack\sample_0001_boolpack_baseline_0bool.L5X,C:\l5x_scratch\acd\sample_0001_boolpack_baseline_0bool.ACD,FAILED,[2026-08-20T11:12:00][INFO][C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\samples\generated\boolpack\sample_0001_boolpack_baseline_0bool.L5X] Open project started [2026-08-20T11:12:48][ERROR][C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\samples\generated\boolpack\sample_0001_boolpack_baseline_0bool.L5X] Open project threw OperationFailedException: XMLSrv_E_IMPORT_ABORTED_NO_CHANGES - The Import was cancelled due to errors. No changes were made to the open project. See error log. C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\samples\generated\boolpack\sample_0001_boolpack_baseline_0bool.L5X [2026-08-20T11:12:48][ERROR][C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\samples\generated\boolpack\sample_0001_boolpack_baseline_0bool.L5X] Failed to open project. Unhandled exception: RockwellAutomation.LogixDesigner.OperationFailedException: XMLSrv_E_IMPORT_ABORTED_NO_CHANGES - The Import was cancelled due to errors. No changes were made to the open project. See error log. (C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\samples\generated\boolpack\sample_0001_boolpack_baseline_0bool.L5X)    at RockwellAutomation.LogixDesigner.LogixProject.HandleServerCallAsync[T](String funcName; Func`1 funcAsync; Boolean logErrors)    at RockwellAutomation.LogixDesigner.LogixProject.Open(CancellationToken cancellationToken)    at RockwellAutomation.LogixDesigner.LogixProject.<>c__DisplayClass28_0.<<OpenLogixProjectAsync>g__funcToOpenProject|0>d.MoveNext() --- End of stack trace from previous location ---    at RockwellAutomation.LogixDesigner.LogixProject.InstantiateClassAndOpenProjectAsync(String projectFilePath; Func`2 funcToOpenProject; IEnumerable`1 handlers; CancellationToken cancellationToken)    at RockwellAutomation.LogixDesigner.LogixProject.OpenLogixProjectAsync(String projectFilePath; IEnumerable`1 operationEventHandlers; CancellationToken cancellationToken)    at RockwellAutomation.LogixDesigner.LogixProject.OpenLogixProjectAsync(String projectFilePath; IOperationEvent operationEventHandler; CancellationToken cancellationToken)    at L5xCommands.LogixProjectConverter.ConvertAsync(String sourceFilePath; String destinationFilePath; IOperationEvent logger; Boolean overwrite) in C:\Users\JamesH\source\repos\ra-logix-designer-vcs-custom-tools\src\L5xCommands\LogixProjectConverter.cs:line 10    at L5xCommands.Commands.L5x2Acd.Execute(String acdPath; String l5xPath) in C:\Users\JamesH\source\repos\ra-logix-designer-vcs-custom-tools\src\L5xCommands\Commands\L5x2Acd.cs:line 38    at System.CommandLine.Command.<>c__DisplayClass33_0.<<SetAction>b__0>d.MoveNext() --- End of stack trace from previous location ---    at System.CommandLine.Invocation.InvocationPipeline.InvokeAsync(ParseResult parseResult; CancellationToken cancellationToken)
C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\samples\generated\boolpack\sample_0002_boolpack_1000bool.L5X,C:\l5x_scratch\acd\sample_0002_boolpack_1000bool.ACD,FAILED,[2026-08-20T11:12:48][INFO][C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\samples\generated\boolpack\sample_0002_boolpack_1000bool.L5X] Open project started [2026-08-20T11:13:40][ERROR][C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\samples\generated\boolpack\sample_0002_boolpack_1000bool.L5X] Open project threw OperationFailedException: XMLSrv_E_IMPORT_ABORTED_NO_CHANGES - The Import was cancelled due to errors. No changes were made to the open project. See error log. C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\samples\generated\boolpack\sample_0002_boolpack_1000bool.L5X [2026-08-20T11:13:40][ERROR][C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\samples\generated\boolpack\sample_0002_boolpack_1000bool.L5X] Failed to open project. Unhandled exception: RockwellAutomation.LogixDesigner.OperationFailedException: XMLSrv_E_IMPORT_ABORTED_NO_CHANGES - The Import was cancelled due to errors. No changes were made to the open project. See error log. (C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\samples\generated\boolpack\sample_0002_boolpack_1000bool.L5X)    at RockwellAutomation.LogixDesigner.LogixProject.HandleServerCallAsync[T](String funcName; Func`1 funcAsync; Boolean logErrors)    at RockwellAutomation.LogixDesigner.LogixProject.Open(CancellationToken cancellationToken)    at RockwellAutomation.LogixDesigner.LogixProject.<>c__DisplayClass28_0.<<OpenLogixProjectAsync>g__funcToOpenProject|0>d.MoveNext() --- End of stack trace from previous location ---    at RockwellAutomation.LogixDesigner.LogixProject.InstantiateClassAndOpenProjectAsync(String projectFilePath; Func`2 funcToOpenProject; IEnumerable`1 handlers; CancellationToken cancellationToken)    at RockwellAutomation.LogixDesigner.LogixProject.OpenLogixProjectAsync(String projectFilePath; IEnumerable`1 operationEventHandlers; CancellationToken cancellationToken)    at RockwellAutomation.LogixDesigner.LogixProject.OpenLogixProjectAsync(String projectFilePath; IOperationEvent operationEventHandler; CancellationToken cancellationToken)    at L5xCommands.LogixProjectConverter.ConvertAsync(String sourceFilePath; String destinationFilePath; IOperationEvent logger; Boolean overwrite) in C:\Users\JamesH\source\repos\ra-logix-designer-vcs-custom-tools\src\L5xCommands\LogixProjectConverter.cs:line 10    at L5xCommands.Commands.L5x2Acd.Execute(String acdPath; String l5xPath) in C:\Users\JamesH\source\repos\ra-logix-designer-vcs-custom-tools\src\L5xCommands\Commands\L5x2Acd.cs:line 38    at System.CommandLine.Command.<>c__DisplayClass33_0.<<SetAction>b__0>d.MoveNext() --- End of stack trace from previous location ---    at System.CommandLine.Invocation.InvocationPipeline.InvokeAsync(ParseResult parseResult; CancellationToken cancellationToken)
C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\samples\generated\boolpack\sample_0001_boolpack_baseline_0bool.L5X,C:\l5x_scratch\acd\sample_0001_boolpack_baseline_0bool.ACD,ok,
C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\samples\generated\boolpack\sample_0002_boolpack_1000bool.L5X,C:\l5x_scratch\acd\sample_0002_boolpack_1000bool.ACD,ok,
C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\samples\generated\logic\xic_ote_1000_comment100.L5X,C:\l5x_scratch\acd\xic_ote_1000_comment100.ACD,ok,
C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\samples\generated\logic\xic_ote_1000_nocomment.L5X,C:\l5x_scratch\acd\xic_ote_1000_nocomment.ACD,ok,
C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\samples\generated\misc\sample_0000_minimal_baseline.L5X,C:\l5x_scratch\acd\sample_0000_minimal_baseline.ACD,FAILED,[2026-08-20T11:33:11][INFO][C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\samples\generated\misc\sample_0000_minimal_baseline.L5X] Open project started [2026-08-20T11:33:53][ERROR][C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\samples\generated\misc\sample_0000_minimal_baseline.L5X] Open project threw OperationFailedException: XMLSrv_E_IMPORT_ABORTED_NO_CHANGES - The Import was aborted due to errors. No changes were made to the open project. See error log. C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\samples\generated\misc\sample_0000_minimal_baseline.L5X [2026-08-20T11:33:53][ERROR][C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\samples\generated\misc\sample_0000_minimal_baseline.L5X] Failed to open project. Unhandled exception: RockwellAutomation.LogixDesigner.OperationFailedException: XMLSrv_E_IMPORT_ABORTED_NO_CHANGES - The Import was aborted due to errors. No changes were made to the open project. See error log. (C:\Users\JamesH\source\repos\jholm90\logixMemoryMap\samples\generated\misc\sample_0000_minimal_baseline.L5X)    at RockwellAutomation.LogixDesigner.LogixProject.HandleServerCallAsync[T](String funcName; Func`1 funcAsync; Boolean logErrors)    at RockwellAutomation.LogixDesigner.LogixProject.Open(CancellationToken cancellationToken)    at RockwellAutomation.LogixDesigner.LogixProject.<>c__DisplayClass28_0.<<OpenLogixProjectAsync>g__funcToOpenProject|0>d.MoveNext() --- End of stack trace from previous location ---    at RockwellAutomation.LogixDesigner.LogixProject.InstantiateClassAndOpenProjectAsync(String projectFilePath; Func`2 funcToOpenProject; IEnumerable`1 handlers; CancellationToken cancellationToken)    at RockwellAutomation.LogixDesigner.LogixProject.OpenLogixProjectAsync(String projectFilePath; IEnumerable`1 operationEventHandlers; CancellationToken cancellationToken)    at RockwellAutomation.LogixDesigner.LogixProject.OpenLogixProjectAsync(String projectFilePath; IOperationEvent operationEventHandler; CancellationToken cancellationToken)    at L5xCommands.LogixProjectConverter.ConvertAsync(String sourceFilePath; String destinationFilePath; IOperationEvent logger; Boolean overwrite) in C:\Users\JamesH\source\repos\ra-logix-designer-vcs-custom-tools\src\L5xCommands\LogixProjectConverter.cs:line 10    at L5xCommands.Commands.L5x2Acd.Execute(String acdPath; String l5xPath) in C:\Users\JamesH\source\repos\ra-logix-designer-vcs-custom-tools\src\L5xCommands\Commands\L5x2Acd.cs:line 38    at System.CommandLine.Command.<>c__DisplayClass33_0.<<SetAction>b__0>d.MoveNext() --- End of stack trace from previous location ---    at System.CommandLine.Invocation.InvocationPipeline.InvokeAsync(ParseResult parseResult; CancellationToken cancellationToken)
