sample_id,description,category,l5x_path,predicted_bytes,actual_bytes,delta,delta_pct,controller_model,firmware_rev,date_tested,notes,error_count,warning_count,message_value,window_title
aoi_array_localtag_1_instance,"AOI with a 100-element array LocalTag, 1 instance",aoi,samples/generated/aoi/aoi_array_localtag_1_instance.L5X,408,19424,19016,4660.78,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - ArrayLocalAOI in aoi_array_localtag_1_instance.ACD [1756-L81E 35.11]*
aoi_array_localtag_def_only,"AOI with a 100-element array LocalTag, 0 instances",aoi,samples/generated/aoi/aoi_array_localtag_def_only.L5X,0,19328,19328,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - ArrayLocalAOI in aoi_array_localtag_def_only.ACD [1756-L81E 35.11]*
aoi_array_param_def_only,"AOI with a 50-element array Input Parameter, 0 instances",aoi,samples/generated/aoi/aoi_array_param_def_only.L5X,0,19336,19336,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - ArrayParamAOI in aoi_array_param_def_only.ACD [1756-L81E 35.11]*
aoi_boolpack_clean_alternating_def_only,"AOI, 10 BOOL alternating with 10 DINT (20 total params, same mix as grouped), 0 instances",aoi,samples/generated/aoi/aoi_boolpack_clean_alternating_def_only.L5X,0,19664,19664,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - BoolPackAlternating in aoi_boolpack_clean_alternating_def_only.ACD [1756-L81E 35.11]*
aoi_boolpack_clean_grouped_def_only,"AOI, 10 BOOL grouped together + 10 DINT (20 total params), 0 instances -- clean OQ-AOIBOOLPACK re-test",aoi,samples/generated/aoi/aoi_boolpack_clean_grouped_def_only.L5X,0,19664,19664,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - BoolPackGrouped in aoi_boolpack_clean_grouped_def_only.ACD [1756-L81E 35.11]*
aoi_boolpack_consecutive20_1_instance,"AOI with 20 consecutive BOOL Input params, 1 instance",aoi,samples/generated/aoi/aoi_boolpack_consecutive20_1_instance.L5X,88,19728,19640,22318.18,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - BoolPackConsecutive in aoi_boolpack_consecutive20_1_instance.ACD [1756-L81E 35.11]*
aoi_boolpack_consecutive20_def_only,"AOI with 20 consecutive BOOL Input params, 0 instances",aoi,samples/generated/aoi/aoi_boolpack_consecutive20_def_only.L5X,0,19632,19632,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - BoolPackConsecutive in aoi_boolpack_consecutive20_def_only.ACD [1756-L81E 35.11]*
aoi_boolpack_interspersed20_1_instance,"AOI with 20 BOOL Input params each separated by a DINT, 1 instance",aoi,samples/generated/aoi/aoi_boolpack_interspersed20_1_instance.L5X,168,20288,20120,11976.19,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - BoolPackInterspersed in aoi_boolpack_interspersed20_1_instance.ACD [1756-L81E 35.11]*
aoi_boolpack_interspersed20_def_only,"AOI with 20 BOOL Input params each separated by a DINT, 0 instances",aoi,samples/generated/aoi/aoi_boolpack_interspersed20_def_only.L5X,0,20112,20112,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - BoolPackInterspersed in aoi_boolpack_interspersed20_def_only.ACD [1756-L81E 35.11]*
aoi_boolrun_n04_def_only,"AOI with 4 consecutive BOOL Input params, 0 instances",aoi,samples/generated/aoi/aoi_boolrun_n04_def_only.L5X,0,19368,19368,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - BoolRunN04 in aoi_boolrun_n04_def_only.ACD [1756-L81E 35.11]*
aoi_boolrun_n08_def_only,"AOI with 8 consecutive BOOL Input params, 0 instances",aoi,samples/generated/aoi/aoi_boolrun_n08_def_only.L5X,0,19424,19424,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - BoolRunN08 in aoi_boolrun_n08_def_only.ACD [1756-L81E 35.11]*
aoi_boolrun_n12_def_only,"AOI with 12 consecutive BOOL Input params, 0 instances",aoi,samples/generated/aoi/aoi_boolrun_n12_def_only.L5X,0,19488,19488,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - BoolRunN12 in aoi_boolrun_n12_def_only.ACD [1756-L81E 35.11]*
aoi_boolrun_n16_def_only,"AOI with 16 consecutive BOOL Input params, 0 instances",aoi,samples/generated/aoi/aoi_boolrun_n16_def_only.L5X,0,19552,19552,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - BoolRunN16 in aoi_boolrun_n16_def_only.ACD [1756-L81E 35.11]*
aoi_boolrun_n20_def_only,"AOI with 20 consecutive BOOL Input params, 0 instances",aoi,samples/generated/aoi/aoi_boolrun_n20_def_only.L5X,0,19616,19616,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - BoolRunN20 in aoi_boolrun_n20_def_only.ACD [1756-L81E 35.11]*
aoi_deepnest3_1_instance,"3-level nested AOI (A contains B contains C), 1 instance",aoi,samples/generated/aoi/aoi_deepnest3_1_instance.L5X,36,21872,21836,60655.56,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - DeepA in aoi_deepnest3_1_instance.ACD [1756-L81E 35.11]*
aoi_deepnest3_def_only,"3-level nested AOI (A contains B contains C), 0 instances",aoi,samples/generated/aoi/aoi_deepnest3_def_only.L5X,0,21760,21760,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - DeepA in aoi_deepnest3_def_only.ACD [1756-L81E 35.11]*
aoi_inout_dint_1_instance,"AOI with 1 InOut DINT param + 1 DINT LocalTag, 1 instance -- confirms InOut adds no instance storage",aoi,samples/generated/aoi/aoi_inout_dint_1_instance.L5X,12,19432,19420,161833.33,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - InOutDintAOI in aoi_inout_dint_1_instance.ACD [1756-L81E 35.11]*
aoi_inout_dint_def_only,"AOI with 1 InOut DINT param + 1 DINT LocalTag, 0 instances",aoi,samples/generated/aoi/aoi_inout_dint_def_only.L5X,0,19336,19336,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - InOutDintAOI in aoi_inout_dint_def_only.ACD [1756-L81E 35.11]*
aoi_inout_string_1_instance,"AOI with 1 InOut STRING param + 1 DINT LocalTag, 1 instance -- confirms InOut adds no instance storage",aoi,samples/generated/aoi/aoi_inout_string_1_instance.L5X,12,19432,19420,161833.33,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - InOutStringAOI in aoi_inout_string_1_instance.ACD [1756-L81E 35.11]*
aoi_inout_string_def_only,"AOI with 1 InOut STRING param + 1 DINT LocalTag, 0 instances",aoi,samples/generated/aoi/aoi_inout_string_def_only.L5X,0,19336,19336,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - InOutStringAOI in aoi_inout_string_def_only.ACD [1756-L81E 35.11]*
aoi_nested_array_localtag_1_instance,"AOI with a 10-element array-of-nested-AOI LocalTag, 1 instance",aoi,samples/generated/aoi/aoi_nested_array_localtag_1_instance.L5X,128,20632,20504,16018.75,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - ArrOuter in aoi_nested_array_localtag_1_instance.ACD [1756-L81E 35.11]*
aoi_nested_array_localtag_def_only,"AOI with a 10-element array-of-nested-AOI LocalTag, 0 instances",aoi,samples/generated/aoi/aoi_nested_array_localtag_def_only.L5X,0,20528,20528,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - ArrOuter in aoi_nested_array_localtag_def_only.ACD [1756-L81E 35.11]*
aoi_nested_inout_10_instance,"Same UDT, array of 10 instances, element [0] called from a rung with a real axis wired in (unmodeled predefined structure)",aoi,samples/generated/aoi/aoi_nested_inout_10_instance.L5X,0,43968,43968,,5069-L306ER,35.11,2026-08-22,,,,2,Logix Designer - AoiNestedInoutN10 in aoi_nested_inout_10_instance.ACD [1756-L81E 35.11]
aoi_nested_inout_1_instance,"UDT nesting an AOI-with-InOut-param as a member (real ts_CIPAxis/DriveAxis pattern), 1 instance, called from a rung with a real axis wired into the InOut slot (unmodeled predefined structure)",aoi,samples/generated/aoi/aoi_nested_inout_1_instance.L5X,0,43856,43856,,5069-L306ER,35.11,2026-08-22,,,,2,Logix Designer - AoiNestedInout1 in aoi_nested_inout_1_instance.ACD [1756-L81E 35.11]
aoi_realistic_composite_10_instance_array,"Realistic AOI (10 In/10 Out/10 Local, mixed DINT/BOOL/REAL), array of 10 instances",aoi,samples/generated/aoi/aoi_realistic_composite_10_instance_array.L5X,1280,20632,19352,1511.88,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - RealisticAOI in aoi_realistic_composite_10_instance_array.ACD [1756-L81E 35.11]*
aoi_realistic_composite_1_instance,"Realistic AOI (10 In/10 Out/10 Local, mixed DINT/BOOL/REAL), 1 instance",aoi,samples/generated/aoi/aoi_realistic_composite_1_instance.L5X,128,20040,19912,15556.25,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - RealisticAOI in aoi_realistic_composite_1_instance.ACD [1756-L81E 35.11]*
aoi_realistic_composite_def_only,"Realistic AOI (10 In/10 Out/10 Local, mixed DINT/BOOL/REAL), 0 instances",aoi,samples/generated/aoi/aoi_realistic_composite_def_only.L5X,0,19888,19888,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - RealisticAOI in aoi_realistic_composite_def_only.ACD [1756-L81E 35.11]*
aoiname_len08_def_only,"AOI (4 DINT params) with AOI type name length=8, 0 instances",aoi,samples/generated/aoi/aoiname_len08_def_only.L5X,0,19384,19384,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - AOINAMEO in aoiname_len08_def_only.ACD [1756-L81E 35.11]*
aoiname_len13_def_only,"AOI (4 DINT params) with AOI type name length=13, 0 instances",aoi,samples/generated/aoi/aoiname_len13_def_only.L5X,0,19392,19392,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - AOINAMEOINAME in aoiname_len13_def_only.ACD [1756-L81E 35.11]*
aoiname_len20_def_only,"AOI (4 DINT params) with AOI type name length=20, 0 instances",aoi,samples/generated/aoi/aoiname_len20_def_only.L5X,0,19408,19408,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - AOINAMEOINAMEOINAMEO in aoiname_len20_def_only.ACD [1756-L81E 35.11]*
aoiname_len30_def_only,"AOI (4 DINT params) with AOI type name length=30, 0 instances",aoi,samples/generated/aoi/aoiname_len30_def_only.L5X,0,19424,19424,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - AOINAMEOINAMEOINAMEOINAMEOINAM in aoiname_len30_def_only.ACD [1756-L81E 35.11]*
basic_aoi_10_instance_array,"Basic AOI (2 In/1 Out/2 Local), array of 10 instances (confirmed real pattern)",aoi,samples/generated/aoi/basic_aoi_10_instance_array.L5X,280,19720,19440,6942.86,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - BasicAOI in basic_aoi_10_instance_array.ACD [1756-L81E 35.11]*
basic_aoi_1_instance,"Basic AOI (2 In/1 Out/2 Local), 1 instance",aoi,samples/generated/aoi/basic_aoi_1_instance.L5X,28,19528,19500,69642.86,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - BasicAOI in basic_aoi_1_instance.ACD [1756-L81E 35.11]*
basic_aoi_def_only,"Basic AOI (2 In/1 Out/2 Local), 0 instances",aoi,samples/generated/aoi/basic_aoi_def_only.L5X,0,19416,19416,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - BasicAOI in basic_aoi_def_only.ACD [1756-L81E 35.11]*
localcount_n01_def_only,"AOI with 1 DINT LocalTags, 0 instances",aoi,samples/generated/aoi/localcount_n01_def_only.L5X,0,19336,19336,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - LocalCountN01 in localcount_n01_def_only.ACD [1756-L81E 35.11]*
localcount_n02_def_only,"AOI with 2 DINT LocalTags, 0 instances",aoi,samples/generated/aoi/localcount_n02_def_only.L5X,0,19360,19360,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - LocalCountN02 in localcount_n02_def_only.ACD [1756-L81E 35.11]*
localcount_n04_def_only,"AOI with 4 DINT LocalTags, 0 instances",aoi,samples/generated/aoi/localcount_n04_def_only.L5X,0,19392,19392,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - LocalCountN04 in localcount_n04_def_only.ACD [1756-L81E 35.11]*
localcount_n08_def_only,"AOI with 8 DINT LocalTags, 0 instances",aoi,samples/generated/aoi/localcount_n08_def_only.L5X,0,19472,19472,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - LocalCountN08 in localcount_n08_def_only.ACD [1756-L81E 35.11]*
localcount_n16_def_only,"AOI with 16 DINT LocalTags, 0 instances",aoi,samples/generated/aoi/localcount_n16_def_only.L5X,0,19632,19632,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - LocalCountN16 in localcount_n16_def_only.ACD [1756-L81E 35.11]*
localcount_n32_def_only,"AOI with 32 DINT LocalTags, 0 instances",aoi,samples/generated/aoi/localcount_n32_def_only.L5X,0,19952,19952,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - LocalCountN32 in localcount_n32_def_only.ACD [1756-L81E 35.11]*
localtype_bool_n4_def_only,"AOI with 4 BOOL LocalTags, 0 instances",aoi,samples/generated/aoi/localtype_bool_n4_def_only.L5X,0,19376,19376,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - LocalTypeBOOL in localtype_bool_n4_def_only.ACD [1756-L81E 35.11]*
localtype_dint_n4_def_only,"AOI with 4 DINT LocalTags, 0 instances",aoi,samples/generated/aoi/localtype_dint_n4_def_only.L5X,0,19392,19392,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - LocalTypeDINT in localtype_dint_n4_def_only.ACD [1756-L81E 35.11]*
localtype_int_n4_def_only,"AOI with 4 INT LocalTags, 0 instances",aoi,samples/generated/aoi/localtype_int_n4_def_only.L5X,0,19384,19384,,5069-L306ER,35.11,2026-08-22,,0,0,0,Logix Designer - LocalTypeINT in localtype_int_n4_def_only.ACD [1756-L81E 35.11]*
